scat SCAT WCSTools 3.9.5, 30 March 2017, Jessica Mink (jmink@cfa.harvard.edu)
 BSC   0.0000000   0.0000000 J2000 r= 180.00 at epoch 2000.0000
BSC_number    RA2000     Dec2000     Mag Type  Arcsec
  0189   11.1100000  47.8641667   5.67  B5  175781.97
  0190   10.9591667 -12.0116667   6.02  K2  58339.39
  0191   10.8383333 -57.4630556   4.36  A0  209205.98
  0192   11.4125000  74.9880556   5.66  A2  271049.91
  0193   11.1812500  48.2844444   4.54  B5  177288.43
  0194   11.0475000 -10.6094444   4.76  K0  54975.90
  0195   11.0504167 -38.4216667   5.90  K1  143070.80
  0196   11.3216667  55.2216667   5.42  A2  201572.55
  0197   11.1850000 -22.0061111   5.24  F1  88412.43
  0198   11.2379167 -42.6766667   5.94  F0  157878.31
  0199   11.1345833 -62.4977778   6.07  F5  227008.28
  0200   11.6625000  69.3250000   6.33  F3  251174.60
  0201   11.3504167  -4.6291667   6.15  M0  44087.87
  0202   11.2500000 -53.7150000   6.15  F7  196268.93
  0203   11.3695833 -12.8808333   6.15  G0  61621.28
  0204   11.5629167  55.3052778   6.52  A2  201983.16
  0205   11.5454167  44.8613889   6.05  B9  165653.02
  0206   11.4237500 -16.4241667   6.47  F1  71698.02
  0207   11.6766667  59.5744444   6.39  G0  216966.10
  0208   11.9420833  74.8475000   5.41  B8  270658.95
  0209   11.4400000 -47.5516667   5.80  G1  174903.77
  0210   11.5491667 -22.5219444   5.50  G3  90621.48
  0211   11.6375000  15.4755556   5.38  M4  69397.48
  0212   12.0379167  72.6750000   5.87  K0  263043.42
  0213   11.7562500  11.9738889   5.50  G8  60192.16
  0214   11.8066667  19.5788889   6.13  F0  81875.01
  0215   11.8345833  24.2672222   4.06  K1  96628.69
  0216   11.8483333   6.7408333   5.99  G8  48988.01
  0217   11.9783333  20.9252778   6.54  F8  86316.92
  0218   11.9304167 -18.0613889   5.70  K3  77528.74
  0219   12.2750000  57.8158333   3.44  F9  211091.50
  0220   12.0045833 -21.7225000   5.57  B9  88839.47
  0221   12.0725000   7.3000000   5.93  G8  50687.62
  0222   12.0958333   5.2805556   5.75  K2  47456.92
  0223   12.2087500  50.9683333   4.89  B9  187240.39
  0224   12.1708333   7.5850000   4.43  K4  51518.06
  0225   12.2445833  16.9405556   5.07  F8  74868.27
  0226   12.4533333  41.0788889   4.53  B5  153368.25
  0227   12.3566667 -13.5613889   5.59  K5  65765.57
  0228   12.3079167 -24.1363889   5.90  K2  96929.94
  0229   12.2362500 -46.6977778   6.27  G8  172484.78
  0230   12.4700000  27.7108333   7.00  F4  108660.18
  0231   12.4716667  27.7102778   7.10  F5  108660.66
  0232   12.3891667 -23.3616667   6.28  A3  94607.52
  0233   12.6816667  64.2475000   5.39  G0  233711.56
  0234   12.5762500  45.0022222   6.15  A0  166898.98
  0235   12.5316667 -10.6444444   5.19  F7  58992.81
  0236   12.1475000 -74.9233333   5.07  K5  270967.13
  0237   12.8183333  61.8058333   6.07  K2  225246.89
  0238   12.7391667  51.5080556   6.39  F2  189435.89
  0239   12.5154167 -43.3947222   6.48  A9  161338.34
  0240   13.7212500  83.7072222   5.62  A4  301995.02
  0241   12.8904167  51.5711111   6.21  B9  189748.35
  0242   12.6716667 -50.9869444   5.22  F2  187591.45
  0243   12.8262500   3.3850000   6.37  K0  47729.38
  0244   13.2670833  61.1241667   4.82  F8  223070.79
  0245   12.9670833 -43.7091667   6.90  F2  162781.35
  0246   13.2225000  38.5486111   6.69  A2  145501.15
  0247   13.1691667 -24.0058333   5.46  K2  97891.11
  0248   13.2520833  -1.1441667   4.77  M0  47881.81
  0249   13.3675000  37.4180556   6.06  K3  141849.15
  0250   13.4483333  52.6891667   6.27  A5  193957.75
  0251   13.3016667 -24.7769444   6.46  F6  100518.28
  0252   13.1012500 -69.5044444   6.22  F7  252219.26
  0253   13.7504167  58.9727778   4.83  K2  215839.72
  0254   13.6466667  19.1883333   5.74  A1  84226.36
  0255   13.5733333  -8.7408333   6.16  G5  57958.96
  0256   13.7716667  48.6786111   6.27  M2  180400.13
  0257   13.4079167 -62.8713889   5.70  M4  229207.32
  0258   13.7416667  23.6283333   5.47  K1  97683.03
  0259   13.8112500  24.5569444   6.20  M4  100666.49
  0260   14.0537500  57.9966667   6.21  K3  212624.27
  0261   14.2316667  68.7761111   6.37  F4  250046.81
  0262   13.9937500  27.2094444   6.09  A5  109263.14
  0263   13.9266667  -7.3472222   5.85  K5  56563.01
  0264   14.1770833  60.7166667   2.47  B0  222086.42
  0265   14.1658333  59.1811111   4.63  G8  216773.96
  0266   14.1962500  60.3627778   5.55  B9  220872.40
  0267   14.0062500 -11.2666667   5.31  K4  64455.86
  0268   13.9812500 -27.7755556   6.10  M0  111037.71
  0269   14.1883333  38.4994444   3.87  A5  146328.08
  0270   13.7512500 -69.5269444   5.45  K2  252499.96
  0271   14.3016667  23.4175000   4.42  G8  98020.08
  0272   14.4154167  45.8397222   6.12  K2  171239.36
  0273   14.6295833  66.3522222   5.97  A0  241787.32
  0274   14.4591667  28.9922222   5.42  G6  115614.85
  0275   14.5591667  33.9508333   5.98  K0  131738.32
  0276   14.4770833  13.6958333   6.32  G8  71379.73
  0277   14.5787500  21.4044444   6.37  A2  92532.45
  0278   15.1291667  70.9830556   6.39  A4  257998.02
  0279   14.6829167 -11.3800000   5.61  G7  66598.80
  0280   14.6516667 -29.3575000   4.31  B7  117059.94
  0281   14.5933333 -60.6963889   6.23  Am  222223.25
  0282   15.0141667  44.7111111   6.84  A2  167954.44
  0283   15.0150000  44.7133333   6.04  B9  167962.67
  0284   14.9570833   6.4830556   6.11  M2  58579.91
  0285   17.1862500  86.2569444   4.25  K2  311127.47
  0286   23.4600000  89.0155556   6.46  A3  320748.98
  0287   15.5766667  51.0350000   6.47  A3  189781.99
  0288   15.3262500 -38.9166667   5.59  K0  148953.03
  0289   15.7562500  47.3761111   6.45  A9  177578.01
  0290   15.7262500  41.3450000   5.98  A5  157416.64
  0291   15.7045833  31.8044444   5.50  B9  126368.17
  0292   15.9041667  61.0750000   5.92  F0  224208.17
  0293   15.6100000 -31.5519444   5.50  A2  125429.81
  0294   15.7358333   7.8900000   4.28  K0  63209.84
  0295   15.5075000 -57.0025000   6.11  G8  210048.50
  0296   15.7608333  -4.8366667   5.43  K0  59285.77
  0297   16.0816667  61.5802778   5.84  F6  226032.46
  0298   16.0100000  52.5022222   5.99  K2  195078.67
  0299   15.7050000 -46.3975000   5.36  G8  174245.80
  0300   15.8233333 -29.5258333   6.29  G5  119370.25
  0301   15.9541667   1.3666667   6.04  F1  57639.89
  0302   16.1950000  51.0100000   6.54  B3  190178.82
  0303   16.1150000  29.6586111   6.19  F7  120241.60
  0304   15.6787500 -65.4561111   6.21  M2  239133.34
  0305   16.1516667  39.9911111   6.72  F0  153419.00
  0306   19.0562500  87.1452778   6.25  K2  314286.62
  0307   16.2191667   5.6563889   6.00  K5  61747.75
  0308   16.2725000  14.9461111   5.68  F4  79045.60
  0309   16.5950000  62.7616667   6.54  A5  230340.86
  0310   16.4204167  21.4733333   5.34  A1  96458.67
  0311   16.4237500  21.4652778   5.56  A0  96443.09
  0312   17.3012500  80.0116667   6.29  G6  289684.49
  0313   16.4550000   4.9083333   6.35  F3  61747.34
  0314   16.4641667   4.9094444   7.25  F6  61780.03
  0315   16.4033333  -9.9791667   6.12  K0  68863.77
  0316   16.7508333  56.9350000   6.43  K2  210614.36
  0317   16.5212500  -9.8394444   5.58  A1  68971.99
  0318   16.7895833  53.4983333   6.38  K2  199027.42
  0319   16.6400000  12.9561111   6.12  G8  75513.24
  0320   16.5320833 -23.9925000   6.14  G8  103883.47
  0321   17.0683333  54.9202778   5.17  G5  204026.28
  0322   16.5208333 -46.7186111   3.31  G8  176066.44
  0323   16.6104167 -35.6608333   6.61  A1  139930.02
  0324   17.0037500  43.9419444   5.03  A3  167339.57
  0325   16.8045833 -23.9963889   6.37  A7  104426.13
  0326   17.1387500  58.2636111   5.79  B8  215367.38
  0327   17.0054167  32.0122222   6.25  F5  128951.55
  0328   16.9883333  20.7391667   5.55  A3  95649.51
  0329   16.9425000  -9.7855556   5.82  F7  70176.24
  0330   17.0925000   5.6497222   5.52  F0  64711.92
  0331   16.9495833 -41.4869444   5.21  A3  159221.71
  0332   16.8279167 -61.7752778   5.37  G5  227103.40
  0333   18.0695833  79.6738889   5.64  A3  288678.02
  0334   17.1475000 -10.1822222   3.45  K1  71511.80
  0335   17.3758333  47.2419444   4.25  B7  178613.29
  0336   17.6637500  68.7786111   5.29  A0  251365.99
  0337   17.4329167  35.6205556   2.06  M0  140920.83
  0338   17.0962500 -55.2458333   3.92  B6  205143.93
  0339   17.4550000  19.6586111   5.55  G0  93808.46
  0340   17.5783333  42.0813889   5.65  F8  161874.52
  0341   17.5808333  25.4577778   5.80  K7  110165.15
  0342   17.8566667  64.2027778   5.55  B9  235906.58
  0343   17.7758333  55.1497222   4.33  A7  205319.60
  0344   17.5479167  15.6741667   6.06  M0  84107.66
  0345   17.9225000  65.0188889   5.57  B9  238707.47
  0346   17.5500000  -8.9061111   6.40  K0  70620.69
  0347   17.6400000   2.4455556   5.95  K4  64092.15
  0348   17.7929167  37.7241667   5.81  B7  148095.49
  0349   17.7783333  31.4247222   5.16  F0  128346.08
  0350   17.5308333 -57.6944444   6.41  G6  213703.12
  0351   17.8633333  21.0347222   4.66  G8  98392.71
  0352   17.9150000  30.0897222   4.51  K0  124504.48
  0353   17.9312500  -2.2511111   5.94  K4  65042.61
  0354   18.2912500  61.7058333   6.41  B9  227711.41
  0355   18.1416667  45.3377778   6.11  M1  173118.27
  0356   18.2479167  30.0641667   6.19  G9  124993.51
  0357   19.1279167  79.9100000   6.26  F5  289700.73
  0358   18.0975000 -30.8022222   6.52  F7  126969.28
  0359   18.1891667 -37.8563889   5.92  F0  149043.95
  0360   18.4370833  24.5836111   4.65  K0  109372.46
  0361   18.4329167   7.5752778   5.24  A7  71563.20
  0362   18.4387500   7.5783333   6.30  F7  71586.60
  0363   18.5208333  28.5297222   6.43  S3  120905.74
  0364   18.5316667  16.1336111   5.98  B8  87778.61
  0365   19.0504167  71.7438889   7.83  K1  261993.61
  0366   18.6000000  -7.9230556   5.13  F5  72583.64
  0367   18.6766667   6.9952778   6.03  G6  71639.50
  0368   18.7050000  -0.9738889   5.70  F5  67425.95
  0369   19.1020833  48.0822222   6.61  B9  183079.92
  0370   18.7962500 -45.5313889   4.96  F8  174451.25
  0371   19.0783333  33.1147222   6.02  K1  135602.30
  0372   19.2712500  44.9019444   6.34  K5  172939.85
  0373   19.1512500  -2.5002778   5.41  G5  69507.71
  0374   19.3504167  31.7447222   6.73  K0  131917.72
  0375   20.0812500  77.5705556   6.31  G5  282013.76
  0376   19.5425000  47.4197222   6.25  K0  181380.89
  0377   18.9420833 -68.8761111   4.86  F6  252252.43
  0378   19.4500000   3.6144444   5.16  A3  71172.72
  0379   19.6958333  37.3861111   6.46  A5  149673.63
  0380   19.2650000 -66.3980556   6.24  A0  244053.46
  0381   20.4962500  76.2388889   6.38  F0  277651.93
  0382   20.0204167  58.2316667   4.98  F0  217267.04
  0383   19.8666667  27.2641667   4.76  A3  119806.98
  0384   20.2716667  64.6583333   6.34  A2  238779.93
  0385   19.9512500  -0.5088889   5.87  G8  71846.91
  0386   20.9450000  78.7258333   6.07  A0  286126.50
  0387   20.1437500  -3.2469444   6.23  K1  73414.87
  0388   20.1158333 -11.2388889   6.15  K1  82542.38
  0389   20.2808333  28.7380556   5.23  K5  124802.55
  0390   20.5850000  45.5288889   4.88  K0  176465.16
  0391   20.8400000  58.1430556   6.45  F4  217599.29
  0392   20.6541667   1.7263889   6.20  K5  74602.98
  0393   20.6450000  -0.4497222   6.49  K0  74338.86
  0394   20.6270833 -19.0813889   6.35  F6  100128.80
  0395   20.9191667  37.7150000   5.58  A2  152497.65
  0396   20.9062500  34.2458333   6.29  G8  142010.09
  0397   20.8537500  20.4688889   5.97  K5  104028.97
  0398   21.4437500  70.9800000   6.49  A0  260430.36
  0399   21.4833333  68.1300000   4.74  K0  250988.97
  0400   20.8791667 -30.9455556   5.84  K5  132271.12
  0401   21.0104167  -8.0075000   6.21  F0  80711.80
  0402   21.0058333  -8.1833333   3.60  K0  80914.39
  0403   21.4541667  60.2352778   2.68  A5  224931.89
  0404   21.0858333  -6.9147222   5.91  F3  79709.35
  0405   21.1658333 -15.6602778   6.14  G5  94009.21
  0406   21.2029167  -2.8486111   6.15  G8  76984.83
  0407   21.3987500  23.5116667   6.18  F5  112954.85
  0408   21.1700000 -41.4925000   5.42  K0  164497.94
  0409   21.5775000  43.4577778   5.96  F7  171161.60
  0410   21.5362500  34.5797222   6.31  F7  144060.33
  0411   21.1745833 -44.5283333   6.26  K1  174006.75
  0412   21.4050000 -14.5988889   4.90  K2  92573.27
  0413   21.5637500  19.1722222   5.38  F2  102768.56
  0414   21.6737500  19.2402778   5.50  K1  103212.78
  0415   21.7758333  34.3775000   6.27  F7  143872.59
  0416   21.6137500  -0.3986111   6.41  K0  77822.10
  0417   21.9141667  45.4066667   4.83  F5  177685.86
  0418   21.8608333  41.1005556   6.46  A7  164244.82
  0419   21.7229167   3.5352778   6.58  B9  79181.87
  0420   21.2720833 -64.3694444   5.93  K5  238421.49
  0421   21.7150000 -13.0566667   5.66  F0  90627.71
  0422   21.9458333  40.3355556   6.60  A0  162022.07
  0423   21.7420833 -32.5430556   5.79  C6  138464.16
  0424   37.9529167  89.2641667   2.02  F7  321911.24
  0425   21.9441667 -10.9016667   6.13  K4  87777.30
  0426   22.0954167   7.9613889   6.20  K1  84305.63
  0427   22.8075000  70.2647222   5.81  F6  258710.55
  0428   22.7179167  66.0980556   6.14  A2  244993.14
  0429   22.0912500 -43.3183333   3.41  M0  171405.15
  0430   22.5258333  47.0072222   5.27  K0  183451.05
  0431   22.1804167 -33.7636111   6.58  F0  142784.71
  0432   22.4704167  18.3555556   6.02  A4  103356.79
  0433   22.4004167 -21.6294444   5.12  A1  110685.01
  0434   22.5462500   6.1438889   4.84  K4  83974.24
  0435   22.3766667 -46.7563889   6.31  M2  182484.41
  0436   22.5954167 -26.2077778   5.93  K4  122660.63
  0437   22.8708333  15.3458333   3.62  G7  98318.15
  0438   23.0316667  34.8000000   6.39  B7  147290.11
  0439   23.3575000  58.3275000   5.70  K0  220254.07
  0440   22.8129167 -49.0727778   3.95  K0  190272.58
  0441   22.9304167 -30.2833333   5.82  K0  134337.66
  0442   23.4829167  59.2319444   4.71  G9  223264.46
  0443   22.9129167 -45.5755556   6.17  A2  179474.01
  0444   23.2645833  -9.0147222   6.59  A0  89493.35
  0445   23.2333333 -36.8652778   5.51  K0  153642.53
  0446   23.5691667  37.2372222   5.88  B9  155292.96
  0447   23.1512500 -49.7277778   6.28  F4  192717.73
  0448   23.4287500  -7.0252778   5.76  G2  87848.57
  0449   24.3437500  74.3008333   6.58  B9  272620.20
  0450   23.7045833  18.4605556   5.89  M2  106968.99
  0451   23.6575000 -15.6761111   5.63  A3  101263.30
  0452   23.9687500  41.0763889   6.38  K1  167265.06
  0453   23.7112500 -31.8922222   6.12  K0  140326.46
  0454   24.1133333  48.7227778   5.92  K1  190716.91
  0455   23.9433333  14.6613889   6.22  B9  100253.74
  0456   24.6287500  73.0400000   5.28  G8  268643.28
  0457   23.9783333  17.4336111   5.80  F0  105623.67
  0458   24.1991667  41.4055556   4.09  F8  168595.90
  0459   23.9958333 -15.4002778   5.42  K2  101751.59
  0460   23.8133333 -58.1394444   6.01  F2  220046.48
  0461   24.5316667  57.9775000   5.56  G5  220170.80
  0462   24.0350000 -29.9075000   5.69  F2  135567.84
  0463   24.2745833  12.1416667   5.57  F0  97114.76
  0464   24.4983333  48.6283333   3.57  K3  190897.22
  0465   24.6320833  45.4000000   6.36  B9  181216.33
  0466   24.4070833  -9.4038889   6.24  F7  93787.75
  0467   23.4133333 -78.5047222   6.11  K0  286065.15
  0468   24.1866667 -58.2708333   6.18  M3  220794.05
  0469   24.8375000  44.3861111   4.98  G8  178446.24
  0470   25.0545833  53.8683333   6.39  K5  207766.87
  0471   24.6141667 -36.5283333   5.94  K0  155044.30
  0472   24.4287500 -57.2366667   0.46  B3  217729.12
  0473   24.7158333 -21.2752778   5.58  A4  115807.46
  0474   24.7083333 -25.0219444   6.70  B9  124542.03
  0475   24.9200000  16.4058333   5.97  K2  106360.24
  0476   25.1658333  43.2977778   5.61  A9  175672.39
  0477   25.1450000  40.5769444   4.94  B8  167626.90
  0478   25.5854167  68.0430556   5.59  A0  253047.17
  0479   24.7008333 -53.4388889   6.84  F5  206050.48
  0480   25.7329167  70.6225000   5.18  B9  261393.40
  0481   25.5125000  61.0383333   6.71  B8  230712.65
  0482   25.5741667  58.6277778   6.37  B8  223171.97
  0483   25.4466667  42.6136111   4.95  G1  174070.67
  0484   25.3266667  25.7458333   6.17  F2  127786.02
  0485   25.4133333  30.0472222   5.99  K0  138850.23
  0486   24.9475000 -56.1980556   5.87  K0  214946.71
  0487   24.9491667 -56.1947222   5.76  K5  214937.87
